,date,1. open,2. high,3. low,4. close,5. volume
WAL,2014-01-31,23.74,25.27,22.37,22.42,10209800.0
WAL,2013-12-31,23.16,24.74,22.29,23.86,6256200.0
WAL,2013-11-29,21.07,23.43,20.56,23.22,5291200.0
WAL,2013-10-31,18.93,21.94,18.64,21.15,10489200.0
WAL,2013-09-30,16.54,19.01,16.16,18.93,8129100.0
WAL,2013-08-30,17.89,18.27,16.27,16.37,5955800.0
WAL,2013-07-31,15.96,18.75,15.95,17.73,9765400.0
WAL,2013-06-28,14.72,16.26,13.64,15.83,8803700.0
WAL,2013-05-31,14.63,15.09,14.04,14.7,7282300.0
WAL,2013-04-30,13.9,14.91,13.32,14.71,9406400.0
WAL,2013-03-28,13.18,14.51,13.06,13.84,8734700.0
WAL,2013-02-28,12.4,13.54,12.35,13.3,10024100.0
WAL,2013-01-31,10.77,12.5,10.77,12.3,9572000.0
WAL,2012-12-31,10.21,10.82,9.86,10.53,7412600.0
WAL,2012-11-30,10.33,10.62,9.28,10.16,8297300.0
WAL,2012-10-31,10.25,10.99,10.08,10.26,9231700.0
WAL,2012-09-28,9.27,10.43,9.21,10.2,7576100.0
WAL,2012-08-31,9.23,9.92,8.88,9.31,6348900.0
WAL,2012-07-31,9.4,9.6,8.82,9.22,5513000.0
WAL,2012-06-29,8.27,9.4,8.0,9.36,6087600.0
WAL,2012-05-31,8.74,8.91,8.05,8.72,6446900.0
WAL,2012-04-30,8.43,9.15,8.35,8.78,7907600.0
WAL,2012-03-30,8.21,9.2,7.8,8.47,10274200.0
WAL,2012-02-29,8.05,8.51,7.85,8.14,6021400.0
WAL,2012-01-31,6.34,8.28,6.32,7.99,13301100.0
WAL,2011-12-30,6.24,6.66,5.59,6.23,6433100.0
WAL,2011-11-30,6.18,6.73,5.46,6.29,7132800.0
WAL,2011-10-31,5.44,6.87,4.99,6.5,14864700.0
WAL,2011-09-30,6.06,6.14,4.44,5.48,14677700.0
WAL,2011-08-31,7.12,7.33,5.3,6.09,13291200.0
WAL,2011-07-29,7.11,7.6,6.57,7.03,8879400.0
WAL,2011-06-30,7.34,7.35,6.47,7.1,11021600.0
WAL,2011-05-31,8.3,8.3,7.22,7.37,7871700.0
WAL,2011-04-29,8.21,8.33,7.36,8.27,6369600.0
WAL,2011-03-31,8.11,8.3,7.44,8.22,6082000.0
WAL,2011-02-28,7.52,8.45,7.5,8.11,8403700.0
WAL,2011-01-31,7.44,7.9,6.77,7.5,9948600.0
WAL,2010-12-31,6.3,7.46,6.29,7.36,9729800.0
WAL,2010-11-30,6.09,6.67,5.69,6.17,7744400.0
WAL,2010-10-29,6.77,6.82,6.0,6.04,7378500.0
WAL,2010-09-30,6.22,7.0,5.98,6.7,9059700.0
WAL,2010-08-31,7.43,7.61,6.1,6.12,12863200.0
WAL,2010-07-30,7.15,8.1,6.6,7.27,10940100.0
WAL,2010-06-30,7.97,8.44,6.9,7.17,10314000.0
WAL,2010-05-28,8.73,9.15,7.25,8.05,8978700.0
WAL,2010-04-30,5.76,9.64,5.59,8.7,19154300.0
WAL,2010-03-31,5.79,6.04,5.52,5.69,8397000.0
WAL,2010-02-26,5.18,5.96,4.31,5.76,8663300.0
WAL,2010-01-29,3.89,5.66,3.75,5.13,15013400.0
WAL,2009-12-31,4.03,4.25,3.45,3.78,8442700.0
WAL,2009-11-30,4.4,4.57,2.99,3.97,21736400.0
WAL,2009-10-30,6.29,6.33,4.26,4.35,13953100.0
WAL,2009-09-30,7.28,7.49,6.29,6.31,7506500.0
WAL,2009-08-31,7.02,7.84,6.84,7.33,8177800.0
WAL,2009-07-31,6.89,7.19,5.86,6.93,8478100.0
WAL,2009-06-30,7.1,7.63,6.05,6.84,11561700.0
WAL,2009-05-29,6.52,9.22,5.89,6.92,16985400.0
WAL,2009-04-30,4.46,6.66,4.0,6.51,4155100.0
WAL,2009-03-31,5.0,6.53,3.72,4.56,4366000.0
WAL,2009-02-27,7.55,7.7,3.93,5.07,3230900.0
WAL,2009-01-30,10.08,10.54,7.01,7.61,2977400.0
WAL,2008-12-31,10.54,11.75,8.6,10.09,3352500.0
WAL,2008-11-28,14.7,14.95,8.73,11.02,2822100.0
WAL,2008-10-31,15.25,17.0,9.65,14.81,3240400.0
WAL,2008-09-30,13.45,27.66,12.96,15.46,3261600.0
WAL,2008-08-29,10.88,16.6,10.0,13.0,2499900.0
WAL,2008-07-31,7.61,11.75,6.79,10.04,3325700.0
WAL,2008-06-30,10.52,10.52,7.74,7.76,4242800.0
WAL,2008-05-30,12.77,13.41,10.21,10.59,2217400.0
WAL,2008-04-30,12.92,14.06,10.5,12.77,3007400.0
WAL,2008-03-31,12.0,13.64,10.06,12.86,4560900.0
WAL,2008-02-29,16.2,16.2,11.89,11.98,3291300.0
WAL,2008-01-31,18.71,18.9,12.5,16.05,6140900.0
WAL,2007-12-31,22.0,26.04,18.06,18.77,2760400.0
WAL,2007-11-30,22.3,22.75,19.19,22.06,4015800.0
WAL,2007-10-31,23.5,25.11,20.45,22.74,3317700.0
WAL,2007-09-28,25.89,28.07,23.35,23.57,2397100.0
WAL,2007-08-31,26.2,32.25,23.76,26.86,5277200.0
WAL,2007-07-31,30.05,30.18,22.4,26.31,5805700.0
WAL,2007-06-29,31.28,31.5,28.68,29.85,2311500.0
WAL,2007-05-31,32.24,33.12,30.52,31.19,1586700.0
WAL,2007-04-30,31.02,33.82,29.75,32.24,2004700.0
WAL,2007-03-30,33.54,33.57,30.38,31.04,2332500.0
WAL,2007-02-28,33.7,35.15,32.57,33.46,1760800.0
WAL,2007-01-31,34.92,35.89,33.0,33.6,1855500.0
WAL,2006-12-29,34.69,35.99,34.33,34.77,1004500.0
WAL,2006-11-30,33.97,37.17,32.79,34.79,1787200.0
WAL,2006-10-31,32.6,34.27,31.45,33.98,2727800.0
WAL,2006-09-29,37.05,38.5,32.57,32.9,1933700.0
WAL,2006-08-31,37.7,38.85,34.67,36.91,2099100.0
WAL,2006-07-31,34.9,39.1,33.22,37.86,2044200.0
WAL,2006-06-30,35.8,36.19,29.95,34.78,2048700.0
WAL,2006-05-31,36.87,37.85,34.36,35.67,1091300.0
